Model,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.5,0.78708303761533,0.6258503401360545,0.4919786096256685,0.5508982035928144,0.8314293833475418
Random Forest,0.45,0.7920511000709723,0.6187683284457478,0.5641711229946524,0.5902097902097903,0.8314293833475418
Random Forest,0.4,0.7828246983676366,0.5876288659793815,0.6096256684491979,0.5984251968503937,0.8314293833475418
Random Forest,0.35,0.7721788502484032,0.5587583148558758,0.6737967914438503,0.610909090909091,0.8314293833475418
Random Forest,0.3,0.7601135557132718,0.5357142857142857,0.7219251336898396,0.6150341685649203,0.8314293833475418
XGBoost,0.5,0.752306600425834,0.5226860254083484,0.7700534759358288,0.6227027027027027,0.8505864269291379
XGBoost,0.45,0.7416607523066004,0.5084459459459459,0.8048128342245989,0.6231884057971014,0.8505864269291379
XGBoost,0.4,0.7281760113555713,0.49293563579277866,0.839572192513369,0.6211671612265084,0.8505864269291379
XGBoost,0.35,0.7083037615330021,0.4732272069464544,0.8743315508021391,0.6140845070422535,0.8505864269291379
XGBoost,0.3,0.6855926188786373,0.4529331514324693,0.8877005347593583,0.5998193315266486,0.8505864269291379
LightGBM,0.5,0.7579843860894251,0.5316698656429942,0.7406417112299465,0.6189944134078212,0.8433930093776641
LightGBM,0.45,0.7501774308019872,0.5197132616487455,0.7754010695187166,0.6223175965665236,0.8433930093776641
LightGBM,0.4,0.7388218594748048,0.5050335570469798,0.8048128342245989,0.6206185567010309,0.8433930093776641
LightGBM,0.35,0.7210787792760823,0.4849921011058452,0.820855614973262,0.6097318768619663,0.8433930093776641
LightGBM,0.3,0.7061745919091554,0.4701492537313433,0.8422459893048129,0.603448275862069,0.8433930093776641
CatBoost,0.5,0.7494677075940384,0.5185185185185185,0.786096256684492,0.6248671625929861,0.8531762639179519
CatBoost,0.45,0.7444996451383961,0.5115131578947368,0.8315508021390374,0.6334012219959266,0.8531762639179519
CatBoost,0.4,0.7288857345635202,0.49390243902439024,0.8663101604278075,0.629126213592233,0.8531762639179519
CatBoost,0.35,0.7068843151171044,0.4724186704384724,0.893048128342246,0.6179463459759482,0.8531762639179519
CatBoost,0.3,0.6855926188786373,0.4543046357615894,0.9171122994652406,0.6076173604960142,0.8531762639179519
